年月日,Data Field,1101 台泥,1102 亞泥,1216 統一,1301 台塑,1303 南亞,1326 台化,1402 遠東新,2002 中鋼,2105 正新,2207 和泰車,2301 光寶科,2303 聯電,2308 台達電,2317 鴻海,2327 國巨,2330 台積電,2457 飛宏,2382 廣達,2395 研華,2408 南亞科,2409 友達,2412 中華電,2454 聯發科,2474 可成,2633 台灣高鐵,2801 彰銀,2823 中壽,2880 華南金,2881 富邦金,2882 國泰金,2883 開發金,2884 玉山金,2885 元大金,2886 兆豐金,2887 台新金,2890 永豐金,2891 中信金,2892 第一金,2912 統一超,3008 大立光,3045 台灣大,3481 群創,4904 遠傳,4938 和碩,5871 中租-KY,5880 合庫金,6505 台塑化,9904 寶成
2016/1/4,收盤價(元),23.77,26.25,53.9,72.4,57.4,68.2,25,17.5,51.7,364.5,30.39,11.8,149,87.12,74.15,139.5,12.91,50.6,186.82,44.85,9.46,98.2,245,272.5,,13.21,20.92,12.82,43.55,42,7.97,14.72,11.85,21,9.53,8.2,15.18,13.92,200,"2,175",98,9.6,66.2,70.8,52.55,11.88,76.9,41.7
2016/1/5,收盤價(元),24,26,54.1,72.9,57.5,68.5,25,17.35,52.4,364.5,31.44,11.75,148.5,87.23,73.87,138,12.66,50.4,185.46,44.7,9.2,98.8,242.5,265,,13.29,20.88,12.78,42.45,41.1,7.97,14.87,11.65,20.9,9.45,8.15,15.13,13.97,199.5,"2,110",98.4,9.52,65.6,72,52.15,11.88,76.3,42.25
2016/1/6,收盤價(元),23.68,25.95,54.1,73,57.5,68.6,24.95,17.3,52.9,371.5,31.39,11.75,148,87.12,73.59,135.5,12.07,49.75,190.46,42.95,9.09,98.7,227,251,,13.38,20.71,12.73,41,40.35,7.89,14.91,11.6,20.55,9.53,8.14,14.95,13.87,203.5,"1,960",97.5,9.46,65.3,67.9,52.15,11.88,77,42.65
2016/1/7,收盤價(元),24.86,26.15,53.8,73,57.6,69,25.25,17.45,52.5,361,31.44,11.45,148,86.35,73.59,133,11.34,48.75,186.82,42.2,9.08,99.2,206,226,,13.16,20.13,12.52,39.65,39.65,7.66,14.6,11.15,20,9.32,7.87,14.72,13.78,196,"1,830",97.5,9.53,65.6,65.7,50.29,11.71,76.2,42
2016/1/8,收盤價(元),24.54,26,53,71.4,56.9,68.1,25,17.4,51.6,353.5,30.84,11.4,146,86.02,74.85,134,12.07,50.3,184.55,42.9,9.12,99.4,213.5,220.5,,13.12,20.13,12.52,39.65,39.95,7.67,14.44,11.2,20.25,9.24,7.95,14.81,13.78,197,"1,975",97.5,9.52,66,67,50.49,11.71,76,42.75
2016/1/11,收盤價(元),23.63,25.7,51.9,71.7,56.9,68.7,24.85,17.35,52,340,29.6,11.05,145,83.15,74.29,133,11.68,50.2,186.37,44.8,9.02,100,209,222,,13.08,19.63,12.31,39,39,7.4,13.74,10.8,20.1,8.76,7.69,14.44,13.64,193,"1,935",98.3,9.35,66.1,64.6,50.29,11.53,76,42
2016/1/12,收盤價(元),23.72,25.55,51,72.9,57.3,69.7,24.7,17.2,51.5,344,30.05,11.1,147.5,84.14,74.85,133,11.39,50.4,187.73,42.05,9.53,101,206.5,203.5,,13.12,19.76,12.39,39.6,38.9,7.41,13.54,10.75,20.25,8.72,7.68,14.35,13.69,194.5,"1,840",99.5,9.6,66.4,66.6,49.7,11.57,76.9,42.55
2016/1/13,收盤價(元),24.31,25.85,52.3,74.9,57.1,70.4,24.8,17.45,50.8,346.5,30.84,11.05,148,84.47,73.73,133.5,11.34,50.7,190.46,42.45,9.6,101.5,206.5,215.5,,13.25,19.88,12.39,39.1,38.4,7.5,13.27,10.75,20.2,8.76,7.83,14.62,13.73,200,"1,965",99.5,9.8,67,67.3,51.37,11.62,78.9,42.1
2016/1/14,收盤價(元),24.31,25.5,53,75.2,56.7,70.4,24.95,17.4,50.6,342.5,30.39,11.15,143,83.81,74.01,131.5,11.05,50.7,190.91,43,9.43,102.5,208,218.5,,13.08,19.67,12.35,38,37,7.36,13.03,10.4,20,8.64,7.64,14.49,13.69,196.5,"1,855",99.4,9.73,67.2,65.6,50.78,11.49,79,40.1
2016/1/15,收盤價(元),24.45,25.5,52.9,75.5,56.7,71,24.8,17.45,50.1,334.5,30.54,11.25,144.5,83.04,73.17,137,10.9,49.9,190.91,42.55,9.06,101,205,218.5,,13.12,19.13,12.22,36.8,35.5,7.13,12.91,10.15,19.85,8.64,7.51,14.02,13.64,200,"2,020",98,9.47,67.3,64.9,49.41,11.35,78.8,40.1
