靡ㄩ絏,るら,Μ絃基(じ)
1101 猟,2018/1/2,33.22
1102 ㄈ猟,2018/1/2,28.2
1216 参,2018/1/2,67.2
1301 鹅,2018/1/2,98.1
1303 玭ㄈ,2018/1/2,77
1326 て,2018/1/2,103.5
1402 环狥穝,2018/1/2,26.8
2002 い葵,2018/1/2,24.7
2105 タ穝,2018/1/2,51.7
2207 ㎝ó,2018/1/2,359
2301 腳,2018/1/2,40.6
2303 羛筿,2018/1/2,14.25
2308 笷筿,2018/1/2,141
2317 翬,2018/1/2,115.26
2327 瓣エ,2018/1/2,295.46
2330 縩筿,2018/1/2,232.5
2357 地河,2018/1/2,278
2382 約笷,2018/1/2,61.9
2395 地,2018/1/2,215
2408 玭ㄈ,2018/1/2,78
2409 ね笷,2018/1/2,12.35
2412 い地筿,2018/1/2,107.5
2454 羛祇,2018/1/2,291.5
2474 Θ,2018/1/2,330
2633 芖蔼臟,2018/1/2,23.65
2801 裹蝗,2018/1/2,15.91
2823 い关,2018/1/2,28.3
2880 地玭,2018/1/2,16.12
2881 碔ü,2018/1/2,51
2882 瓣,2018/1/2,54.2
2883 秨祇,2018/1/2,10.1
2884 ド,2018/1/2,17.8
2885 じ,2018/1/2,13.8
2886 伦,2018/1/2,24.2
2887 穝,2018/1/2,13.4
2890 ッ伦,2018/1/2,9.51
2891 い獺,2018/1/2,20.45
2892 材,2018/1/2,19.35
2912 参禬,2018/1/2,287.5
3008 ミ,2018/1/2,"4,255"
3045 芖,2018/1/2,108
3481 竤承,2018/1/2,12.45
4904 环肚,2018/1/2,73.6
4938 ㎝河,2018/1/2,72.1
5871 い-KY,2018/1/2,85.88
5880 畐,2018/1/2,16.16
6505 鹅て,2018/1/2,115
9904 腳Θ,2018/1/2,38.2
1101 猟,2018/1/3,33.95
1102 ㄈ猟,2018/1/3,28.4
1216 参,2018/1/3,67.5
1301 鹅,2018/1/3,98.5
1303 玭ㄈ,2018/1/3,78.2
1326 て,2018/1/3,103.5
1402 环狥穝,2018/1/3,26.6
2002 い葵,2018/1/3,24.9
2105 タ穝,2018/1/3,52
2207 ㎝ó,2018/1/3,361
2301 腳,2018/1/3,40
2303 羛筿,2018/1/3,14.4
2308 笷筿,2018/1/3,139
2317 翬,2018/1/3,114.04
2327 瓣エ,2018/1/3,324.67
2330 縩筿,2018/1/3,237
2357 地河,2018/1/3,277
2382 約笷,2018/1/3,62.6
2395 地,2018/1/3,216.5
2408 玭ㄈ,2018/1/3,80.3
2409 ね笷,2018/1/3,12.45
2412 い地筿,2018/1/3,108
2454 羛祇,2018/1/3,300.5
2474 Θ,2018/1/3,333.5
2633 芖蔼臟,2018/1/3,23.7
2801 裹蝗,2018/1/3,15.95
2823 い关,2018/1/3,28.53
2880 地玭,2018/1/3,16.16
2881 碔ü,2018/1/3,51.5
2882 瓣,2018/1/3,55.2
2883 秨祇,2018/1/3,10.1
2884 ド,2018/1/3,18.23
2885 じ,2018/1/3,13.95
2886 伦,2018/1/3,24.5
2887 穝,2018/1/3,13.49
2890 ッ伦,2018/1/3,9.55
2891 い獺,2018/1/3,20.65
2892 材,2018/1/3,19.35
2912 参禬,2018/1/3,284.5
3008 ミ,2018/1/3,"4,145"
3045 芖,2018/1/3,108.5
3481 竤承,2018/1/3,12.45
4904 环肚,2018/1/3,74.6
4938 ㎝河,2018/1/3,72.6
5871 い-KY,2018/1/3,86.17
5880 畐,2018/1/3,16.26
6505 鹅て,2018/1/3,117.5
9904 腳Θ,2018/1/3,38.2
1101 猟,2018/1/4,33.81
1102 ㄈ猟,2018/1/4,28.6
1216 参,2018/1/4,67.5
1301 鹅,2018/1/4,98.5
1303 玭ㄈ,2018/1/4,78
1326 て,2018/1/4,104.5
1402 环狥穝,2018/1/4,26.35
2002 い葵,2018/1/4,24.8
2105 タ穝,2018/1/4,51.6
2207 ㎝ó,2018/1/4,353.5
2301 腳,2018/1/4,39.75
2303 羛筿,2018/1/4,14.35
2308 笷筿,2018/1/4,139
2317 翬,2018/1/4,112.34
2327 瓣エ,2018/1/4,332.6
2330 縩筿,2018/1/4,239.5
2357 地河,2018/1/4,271
2382 約笷,2018/1/4,62.9
2395 地,2018/1/4,213.5
2408 玭ㄈ,2018/1/4,81.5
2409 ね笷,2018/1/4,12.5
2412 い地筿,2018/1/4,108
2454 羛祇,2018/1/4,307
2474 Θ,2018/1/4,335
2633 芖蔼臟,2018/1/4,23.7
2801 裹蝗,2018/1/4,16
2823 い关,2018/1/4,28.58
2880 地玭,2018/1/4,16.21
2881 碔ü,2018/1/4,51.9
2882 瓣,2018/1/4,55.4
2883 秨祇,2018/1/4,10.1
2884 ド,2018/1/4,18.18
2885 じ,2018/1/4,13.85
2886 伦,2018/1/4,24.6
2887 穝,2018/1/4,13.44
2890 ッ伦,2018/1/4,9.53
2891 い獺,2018/1/4,20.65
2892 材,2018/1/4,19.4
2912 参禬,2018/1/4,285.5
3008 ミ,2018/1/4,"4,135"
3045 芖,2018/1/4,108.5
3481 竤承,2018/1/4,12.5
4904 环肚,2018/1/4,75
4938 ㎝河,2018/1/4,71.9
5871 い-KY,2018/1/4,88.23
5880 畐,2018/1/4,16.31
6505 鹅て,2018/1/4,119
9904 腳Θ,2018/1/4,37.95
1101 猟,2018/1/5,33.9
1102 ㄈ猟,2018/1/5,29.35
1216 参,2018/1/5,67.3
1301 鹅,2018/1/5,98.4
1303 玭ㄈ,2018/1/5,78
1326 て,2018/1/5,104
1402 环狥穝,2018/1/5,26.65
2002 い葵,2018/1/5,24.95
2105 タ穝,2018/1/5,51.5
2207 ㎝ó,2018/1/5,352.5
2301 腳,2018/1/5,39.9
2303 羛筿,2018/1/5,14.55
2308 笷筿,2018/1/5,140.5
2317 翬,2018/1/5,112.83
2327 瓣エ,2018/1/5,337.19
2330 縩筿,2018/1/5,240
2357 地河,2018/1/5,272
2382 約笷,2018/1/5,61.8
2395 地,2018/1/5,216
2408 玭ㄈ,2018/1/5,83.5
2409 ね笷,2018/1/5,12.5
2412 い地筿,2018/1/5,108.5
2454 羛祇,2018/1/5,300
2474 Θ,2018/1/5,335
2633 芖蔼臟,2018/1/5,23.65
2801 裹蝗,2018/1/5,16.15
2823 い关,2018/1/5,28.58
2880 地玭,2018/1/5,16.4
2881 碔ü,2018/1/5,52.2
2882 瓣,2018/1/5,55.7
2883 秨祇,2018/1/5,10.2
2884 ド,2018/1/5,18.23
2885 じ,2018/1/5,13.95
2886 伦,2018/1/5,24.9
2887 穝,2018/1/5,13.59
2890 ッ伦,2018/1/5,9.6
2891 い獺,2018/1/5,20.9
2892 材,2018/1/5,19.5
2912 参禬,2018/1/5,283
3008 ミ,2018/1/5,"4,100"
3045 芖,2018/1/5,108.5
3481 竤承,2018/1/5,12.45
4904 环肚,2018/1/5,75.4
4938 ㎝河,2018/1/5,72
5871 い-KY,2018/1/5,91.76
5880 畐,2018/1/5,16.41
6505 鹅て,2018/1/5,120
9904 腳Θ,2018/1/5,38.1
1101 猟,2018/1/8,34.72
1102 ㄈ猟,2018/1/8,30.3
1216 参,2018/1/8,67.9
1301 鹅,2018/1/8,99.5
1303 玭ㄈ,2018/1/8,79.5
1326 て,2018/1/8,105.5
1402 环狥穝,2018/1/8,26.5
2002 い葵,2018/1/8,25.25
2105 タ穝,2018/1/8,51.6
2207 ㎝ó,2018/1/8,358
2301 腳,2018/1/8,39.9
2303 羛筿,2018/1/8,14.7
2308 笷筿,2018/1/8,140.5
2317 翬,2018/1/8,111.37
2327 瓣エ,2018/1/8,333.85
2330 縩筿,2018/1/8,242
2357 地河,2018/1/8,274
2382 約笷,2018/1/8,62.6
2395 地,2018/1/8,226
2408 玭ㄈ,2018/1/8,83.5
2409 ね笷,2018/1/8,12.6
2412 い地筿,2018/1/8,108.5
2454 羛祇,2018/1/8,298
2474 Θ,2018/1/8,327
2633 芖蔼臟,2018/1/8,23.6
2801 裹蝗,2018/1/8,16.34
